Umsteigebauwerke,,,,,,,,,,,,,
,,,,,,,,,,,,,
Typ,Nr.,Name,Umsteigebauwerk_niveau  ,X,Y,Exportnummer,HAFAS-Nr.,,,,,,
Zwischenpunkt,33,Bahnsteig S5/7/75/3 (Aufzug zur Empfangshalle),1,4595876,5821876,9701033,,,,,,,
Zugang,14,Zugang (Treppe) Gruner-/Dircksen-/Alexanderstraße,0,4596014,5821754,9701014,,,,,,,
Zwischenpunkt,41,Empfangshalle (Treppe zum Bahnsteig),0,4595906,5821842,9701041,,,,,,,
Zugang,19,Zugang (Empfangshalle) Dircksenstraße,0,4595905,5821880,9701019,,,,,,,
ÖV,2,Bahnsteig Gleis 1+2 U8,-3,4595979,5821814,9701002,,,,,,,
Zwischenpunkt,38,Bahnsteig S5/7/75/3 (Rolltreppe Bahnsteig -Ende zur Empfangshalle),1,4595876,5821876,9701038,,,,,,,
Zwischenpunkt,159,Ladenstr. (Treppe Dirksenstraße/Alexanderplatz),-2,4596000,5821830,9701159,,,,,,,
Zwischenpunkt,156,Zwischengeschoss U8 (Treppe Alexanderplatz/ Karl-Liebknecht-Straße/Galeria Kaufhof),-2,4596001,5821831,9701156,,,,,,,
Zugang,141,Zugang (Empfangshalle) Dircksen-/Rathausstraße,0,4595942,5821845,9701141,,,,,,,
Zwischenpunkt,64,Zwischengeschoss U5/U2 (Treppe 1 zum Bahnsteig U2),-3,4596000,5821830,9701064,,,,,,,
Zwischenpunkt,95,Bahnsteig U8 (Treppe 1 zum Verteiler),-3,4595980,5821813,9701095,,,,,,,
Zwischenpunkt,103,Zwischengeschoss U5/U8 (Treppe zum Bahnsteig U5 Hönow),-4,4596000,5821831,9701103,,,,,,,
Zwischenpunkt,115,Bahnsteig U5 Hönow (Rolltreppe zum Verteiler),-5,4596086,5821891,9701115,,,,,,,
Zwischenpunkt,120,Bahnsteig U5 Hönow (Treppe zum Zwischengeschoss Unterführung),-5,4596086,5821891,9701120,,,,,,,
Zwischenpunkt,122,Ladenstr. (Treppe zum Verteiler),-2,4596026,5821849,9701122,,,,,,,
Zwischenpunkt,42,Empfangshalle (Rolltreppe zum Bahnsteig -Anfang),0,4595897,5821845,9701042,,,,,,,
Zugang,8,Zugang (Treppe) Alexanderplatz/Alexanderstraße,0,4596149,5821944,9701008,,,,,,,
Zwischenpunkt,54,Empfangshalle (Rolltreppe Nähe Dircksenstraße zum UG Empfangshalle ),0,4595929,5821840,9701054,,,,,,,
Zwischenpunkt,49,Empfangshalle (Treppe zum Bahnsteig -Mitte S5/7/75/3),0,4595887,5821884,9701049,,,,,,,
Zwischenpunkt,34,Bahnsteig S5/7/75/3 (Treppe Bahnsteig -Anfang zur Empfangshalle),1,4595877,5821876,9701034,,,,,,,
Zwischenpunkt,130,Verteiler (Treppe 1 zum Zwischengeschoss U5/Verteiler),-1,4595981,5821779,9701130,,,,,,,
Zwischenpunkt,71,Zwischengeschoss U5/U2 (Treppe 2 zum Bahnsteig U5 S+U Alexanderplatz Bhf.),-3,4596000,5821830,9701071,,,,,,,
Zwischenpunkt,77,Zwischengeschoss Unterführung (Treppe zum Bahnsteig U5 S+U Alexanderplatz Bhf.),-1,4596257,5821955,9701077,,,,,,,
Zwischenpunkt,96,"Bahnsteig U8 (Aufzug zum Bahnsteig U5 Alexanderplatz,Verteiler und Zugang)",-3,4595979,5821813,9701096,,,,,,,
Zwischenpunkt,117,Bahnsteig U5 Hönow (Treppe 2 zum Zwischengeschoss U5/U2),-5,4596087,5821891,9701117,,,,,,,
Zwischenpunkt,134,Verteiler (Treppe zur Ladenstraße),-1,4595981,5821779,9701134,,,,,,,
Zwischenpunkt,137,Zwischengeschoss U5/Verteiler (Treppe zum Bahnsteig U5 Hönow),-3,4596000,5821830,9701137,,,,,,,
Zwischenpunkt,135,Verteiler (Treppe Gruner-/Dircksen-/Alexanderstraße),-1,4595982,5821777,9701135,,,,,,,
Zwischenpunkt,31,Bahnsteig (Rolltreppe Bahnsteig -Mitte zur Empfangshalle),1,4595884,5821884,9701031,,,,,,,
Zwischenpunkt,45,Empfangshalle (Aufzug zum Bahnsteig S5/7/75/3),0,4595954,5821817,9701045,,,,,,,
Zwischenpunkt,32,Bahnsteig (Rolltreppe Bahnsteig -Ende zur Empfangshalle),1,4595884,5821885,9701032,,,,,,,
Zugang,22,Zugang (Aufzug) U5/U2,0,4596129,5821932,9701022,,,,,,,
Zwischenpunkt,28,Bahnsteig Gleis 1/2 (Aufzug),1,4595884,5821885,9701028,,,,,,,
Zugang,13,Zugang (Treppe) Grunerstraße/Weltzeituhr,0,4596055,5821817,9701013,,,,,,,
Zwischenpunkt,53,Empfangshalle (Rolltreppe Nähe Gontardstraße zum UG Empfangshalle ),0,4595917,5821828,9701053,,,,,,,
ÖV,3,Bahnsteig Gleis 1+3 U5 Richtung S+U Alexanderplatz,-5,4596082,5821895,9701003,,,,,,,
ÖV,6,Bahnsteig Gleis 1/2,1,4595884,5821885,9701006,,,,,,,
Zwischenpunkt,76,Zwischengeschoss Unterführung (Rolltreppe zum Zwischengeschoss U5/U2),-1,4596249,5821941,9701076,,,,,,,
Zwischenpunkt,98,Bahnsteig U8 (Treppe 2 zum Zwischengeschoss U5/U8),-3,4595979,5821813,9701098,,,,,,,
Zugang,145,Zugang (Treppe) Dirksen-/Gontardstraße/Fernsehturm,0,4595926,5821871,9701145,,,,,,,
Zugang,147,Zugang (Treppe) Dirksenstraße/ Alexanderplatz,0,4596024,5821882,9701147,,,,,,,
Zwischenpunkt,154,Bahnsteig U8 (Treppe zum Zwischengeschoss U8),-3,4596001,5821831,9701154,,,,,,,
Zwischenpunkt,152,Verteiler (Treppe Rathaus-/Gonthardstraße/Berliner Rathaus),-1,4596000,5821830,9701152,,,,,,,
Zwischenpunkt,155,Zwischengeschoss U8 (Treppe zum Bahnsteig U8),-2,4596001,5821830,9701155,,,,,,,
Zwischenpunkt,69,Zwischengeschoss U5/U2 (Treppe 1 zum Bahnsteig U5 S+U Alexanderplatz Bhf.),-3,4596000,5821830,9701069,,,,,,,
Zwischenpunkt,94,Bahnsteig U8 (Treppe 1 zum Zwischengeschoss U5/U8),-3,4595979,5821813,9701094,,,,,,,
Zwischenpunkt,131,Verteiler (Treppe2 zum Zwischeneschoss U5/Verteiler),-1,4595981,5821779,9701131,,,,,,,
Zugang und ÖV,23,Bushaltestelle Dircksenstraße vor Karl-Liebknecht-Straße,0,4595740,5822010,9701023,,,,,,,
Zwischenpunkt,47,Empfangshalle (Rolltreppe zum Bahnsteig -Anfang S5/7/75/3),0,4595910,5821857,9701047,,,,,,,
Zwischenpunkt,51,Empfangshalle (Treppe zum Bahnsteig -Ende S5/7/75/3),0,4595853,5821920,9701051,,,,,,,
Zwischenpunkt,40,Empfangshalle (Aufzug zum Bahnsteig und UG Empfangshalle),0,4595941,5821806,9701040,,,,,,,
Zwischenpunkt,52,Empfangshalle (Treppe zum Untergeschoss Empfangshalle),0,4595938,5821819,9701052,,,,,,,
Zugang und ÖV,24,Bushaltestelle Karl-Liebknecht-Str. hinter Rosa-Luxemburg-Straße,0,4595675,5821899,9701024,,,,,,,
Zwischenpunkt,35,Bahnsteig S5/7/75/3 (Rolltreppe Bahnsteig -Anfang zur Empfangshalle),1,4595876,5821876,9701035,,,,,,,
Zwischenpunkt,67,"Zwischengeschoss U5/U2 (Aufzug zum Bahnsteig U2,Bahnsteig U5 Hönow und Zugang)",-3,4596000,5821830,9701067,,,,,,,
Zwischenpunkt,48,Empfangshalle (Rolltreppe zur Bahnsteigmitte S5/S7/S75/S3),0,4595891,5821884,9701048,,,,,,,
Zwischenpunkt,158,Bahnsteig U2 (Treppe Alexander-/Memhard-/Karl-Liebknecht-Straße/Galeria Kaufhof),-1,4596001,5821831,9701158,,,,,,,
Zwischenpunkt,157,Zwischengeschoss U8 (Treppe Dirksen-/Gontardstraße/Fernsehturm),-2,4596001,5821831,9701157,,,,,,,
,,,,,,,,,,,,,
Bauwerk,5,S+U Friedrichstraße Bhf.,,4594350,5821680,100001,9100001,,,,,,
ÖV,4,Bahnsteig Gleis 3/4,3,4594275,5821686,9702004,,,,,,,
Zwischenpunkt,42,Zwischengeschoss Georgenstraße (Treppe2 zum Bahnsteig U6),-2,4594350,5821680,9702042,,,,,,,
