Umsteigebauwerke,,,,,,,,,,,,,
,,,,,,,,,,,,,
Typ,Nr.,Name,Umsteigebauwerk_niveau  ,X,Y,Exportnummer,HAFAS-Nr.,,,,,,
Zugang,9,Zugang (Treppe) Schivelbeiner Straße/Wichertstraße,0,4596003,5825026,9720809,,,,,,,
Zugang,10,Zugang (Rolltreppe) Schönhauser Allee,0,4595998,5824968,9720810,,,,,,,
Zugang und ÖV,15,Bushaltestelle Schönhauser Allee vor gegenüberliegender Dänenstraße,0,4596012,5824947,9720815,,,,,,,
Zugang und ÖV,13,Bushaltestelle Schönhauser Allee hinter Dänenstraße,0,4595979,5824950,9720813,,,,,,,
Zugang und ÖV,14,Tramsteig Schönhauser Allee vor Kopenhagener Straße,0,4595978,5824945,9720814,,,,,,,
Zwischenpunkt,25,Bahnsteig U2 (Rolltreppe Schönhauser Allee),1,4595998,5824961,9720825,,,,,,,
Zwischenpunkt,33,Durchgang (Treppe S-Bahn Schönhauser Allee),-1,4596017,5824982,9720833,,,,,,,
Zugang und ÖV,18,Bushaltestelle Wichertstraße vor Greifenhagener Straße,0,4596269,5825036,9720818,,,,,,,
Zugang und ÖV,19,Bushaltestelle Wichertstraße hinter Greifenhagener Straße,0,4596256,5825015,9720819,,,,,,,
Zwischenpunkt,28,Bahnsteig S-Bahn (Treppe am Aufzug Schönhauser Allee/Arcaden),-2,4596072,5824972,9720828,,,,,,,
Zwischenpunkt,30,Bahnsteig S-Bahn (Treppe Schönhauser Allee/Arcaden),-2,4596104,5824961,9720830,,,,,,,
Zugang und ÖV,21,Bushaltestelle Schivelbeiner Straße hinter Schönhauser Allee,0,4595961,5825131,9720821,,,,,,,
Zwischenpunkt,32,Durchgang (Treppe zum Bahnsteig S-Bahn),-1,4596032,5824979,9720832,,,,,,,
Zugang und ÖV,17,Bushaltestelle Wichertstraße vor Schönhauser Allee,0,4596049,5825119,9720817,,,,,,,
ÖV,1,Bahnsteig U2,1,4595996,5824946,9720801,,,,,,,
Zwischenpunkt,23,Bahnsteig U2 (Aufzug),1,4596000,5825001,9720823,,,,,,,
Zwischenpunkt,29,Bahnsteig S-Bahn (Aufzug Schönhauser Allee/Arcaden),-2,4596080,5824970,9720829,,,,,,,
Zugang und ÖV,20,Bushaltestelle Schivelbeiner Straße vor Schönhauser Allee,0,4595974,5825105,9720820,,,,,,,
Zugang,7,Zugang (Treppe S-Bahn) Schönhauser Allee,0,4596007,5824983,9720807,,,,,,,
Zwischenpunkt,22,Bahnsteig U2 (Treppe Schivelbeiner Straße/Wichertstraße),1,4596002,5825019,9720822,,,,,,,
Zwischenpunkt,31,Bahnsteig S-Bahn (Treppe zum Durchgang),-2,4596047,5824978,9720831,,,,,,,
Zugang,3,Zugang (Treppe) Greifenhagener Straße,0,4596176,5824934,9720803,,,,,,,
Zugang,5,Zugang (Aufzug) Schönhauser Allee/Arcaden,0,4596080,5824970,9720805,,,,,,,
Zugang,8,Zugang (Treppe U2) Schönhauser Allee,0,4595999,5824979,9720808,,,,,,,
Zugang,11,Zugang (Aufzug),0,4596000,5825001,9720811,,,,,,,
Zwischenpunkt,26,Bahnsteig U2 (Treppe Stargarder Straße/Gleimstraße),1,4595989,5824877,9720826,,,,,,,
Zwischenpunkt,27,Bahnsteig S-Bahn (Treppe Greifenhagener Straße),-2,4596160,5824942,9720827,,,,,,,
ÖV,2,Bahnsteig S-Bahn,-2,4596089,5824964,9720802,,,,,,,
Zugang,12,Zugang (Treppe) Stargarder Straße/Gleimstraße,0,4595990,5824887,9720812,,,,,,,
Zugang und ÖV,16,Tramsteig Schönhauser Allee vor gegenüberliegender Dänenstraße,0,4596012,5824954,9720816,,,,,,,
Zwischenpunkt,24,Bahnsteig U2 (Treppe Schönhauser Allee),1,4595999,5824973,9720824,,,,,,,
,,,,,,,,,,,,,
Bauwerk,165,S+U Gesundbrunnen Bhf,,4594258,5824900,7102,9007102,,,,,,
ÖV,1,Bahnsteig U8,-4,4594221,5824931,9704001,,,,,,,
Zugang,4,Zugang (Treppe) Humboldthain/Brunnenstraße/Ramlerstraße,0,4594316,5824778,9704004,,,,,,,
Zugang,9,Zugang (Treppe Gleis 3/4) Bad-/Brunnenstraße,0,4594290,5824901,9704009,,,,,,,
Zugang,11,"Zugang (Treppe Gleis 1/2,) Bad-/Brunnenstraße",0,4594286,5824921,9704011,,,,,,,
Zugang,14,Zugang (Aufzug Gleis 1/2),0,4594269,5824915,9704014,,,,,,,
Zugang und ÖV,18,Bushaltestelle Hanne-Sobek-Platz,0,4594233,5824894,9704018,,,,,,,
Zwischenpunkt,31,Zwischengeschoss (Treppe Bahnsteig U8),-3,4594215,5824934,9704031,,,,,,,
Zwischenpunkt,43,"Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden (Treppe Badstraße/Brunnenstraße)",-2,4594307,5824911,9704043,,,,,,,
Zwischenpunkt,48,"Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden (Aufzug)",-2,4594308,5824911,9704048,,,,,,,
ÖV,88,Bahnsteig Gleis 7+8,-2,4594371,5824852,9704088,,,,,,,
ÖV,89,Bahnsteig Gleis 9+10,-2,4594376,5824829,9704089,,,,,,,
Zugang,61,Zugang (Aufzug Gleis 7+8),0,4594288,5824845,9704061,,,,,,,
Zugang,62,Zugang (Aufzug Gleis 9+10),0,4594297,5824823,9704062,,,,,,,
Zugang,64,Zugang (Treppe Gleis 7+8),0,4594301,5824846,9704064,,,,,,,
Zugang,68,Zugang (Rolltreppe Gleis 9+10),0,4594307,5824819,9704068,,,,,,,
Zwischenpunkt,80,Bahnsteig Gleis 7+8 (Treppe zur Überführung),-2,4594281,5824910,9704080,,,,,,,
Zwischenpunkt,84,Bahnsteig Gleis 9+10 (Treppe Badstraße/Brunnenstraße),-2,4594280,5824910,9704084,,,,,,,
Zwischenpunkt,85,Bahnsteig Gleis 9+10 (Rolltreppe Badstraße/Brunnenstraße),-2,4594280,5824911,9704085,,,,,,,
Zwischenpunkt,86,Bahnsteig Gleis 9+10 (Treppe zur Überführung),-2,4594279,5824910,9704086,,,,,,,
Zwischenpunkt,91,Zwischengeschoss (Aufzug zum Gleis 7+8),-3,4594280,5824911,9704091,,,,,,,
Zwischenpunkt,94,Zwischengeschoss (Treppe zum Gleis 7+8),-3,4594280,5824911,9704094,,,,,,,
Zwischenpunkt,99,Überführung (Treppe zum Bahnsteig Gleis 5+6),-1,4594280,5824909,9704099,,,,,,,
Zwischenpunkt,100,Überführung (Treppe zum Bahnsteig Gleis 7+8),-1,4594279,5824909,9704100,,,,,,,
Zwischenpunkt,120,Überführung (Treppe zum Bahnsteig Gleis 9+10),-1,4594280,5824910,9704120,,,,,,,
Zwischenpunkt,55,"Überführung (Treppe zum Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden)",-1,4594308,5824911,9704055,,,,,,,
Zugang,6,Zugang (Schalterhalle) Bad-/Grüntaler Straße,0,4594188,5824948,9704006,,,,,,,
Zwischenpunkt,39,"Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden (Treppe zum Bahnsteig U8)",-2,4594309,5824911,9704039,,,,,,,
Zwischenpunkt,42,"Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden (Rolltreppe zum Zwischengeschoss)",-2,4594308,5824911,9704042,,,,,,,
Zwischenpunkt,47,"Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden (Treppe zum Bahnsteig U8)",-2,4594308,5824911,9704047,,,,,,,
Zugang,60,Zugang (Aufzug Gleis 5+6),0,4594280,5824869,9704060,,,,,,,
Zwischenpunkt,71,Bahnsteig Gleis 5+6 (Rolltreppe zum Zwischengeschoß),-2,4594280,5824910,9704071,,,,,,,
Zwischenpunkt,73,Bahnsteig Gleis 5+6 (Rolltreppe Badstraße/Brunnenstraße),-2,4594280,5824910,9704073,,,,,,,
Zwischenpunkt,76,Bahnsteig Gleis 7+8 (Treppe zum Zwischengeschoß),-2,4594280,5824910,9704076,,,,,,,
Zwischenpunkt,83,Bahnsteig Gleis 9+10 (Rolltreppe zum Zwischengeschoß.),-2,4594281,5824910,9704083,,,,,,,
Zwischenpunkt,96,Zwischengeschoss (Rolltreppe zum Gleis 5+6),-3,4594280,5824909,9704096,,,,,,,
Zugang,10,Zugang (Rolltreppe Gleis 3/4) Bad-/Brunnenstraße,0,4594291,5824896,9704010,,,,,,,
Zugang,13,Zugang (Aufzug Gleis 3/4),0,4594277,5824895,9704013,,,,,,,
Zwischenpunkt,22,Bahnsteig U8 (Treppe zum Zwischengeschoss),-4,4594215,5824935,9704022,,,,,,,
Zwischenpunkt,24,"Bahnsteig U8 (Treppe Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden)",-4,4594215,5824935,9704024,,,,,,,
Zwischenpunkt,34,"Zwischengeschoss (Aufzug Gleis 1/2, S-Bahn Richtung Westen und Süden)",-3,4594214,5824934,9704034,,,,,,,
Zwischenpunkt,41,"Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden (Treppe zum Zwischengeschoss)",-2,4594308,5824911,9704041,,,,,,,
Zwischenpunkt,50,"Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden (Rolltreppe zum Zwischengeschoss)",-2,4594308,5824911,9704050,,,,,,,
Zwischenpunkt,52,"Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden (Rolltreppe Badstraße/Brunnenstraße)",-2,4594307,5824911,9704052,,,,,,,
Zwischenpunkt,56,"Überführung (Rolltreppe zum Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden)",-1,4594307,5824911,9704056,,,,,,,
Zugang,65,Zugang (Treppe Gleis 7+8),0,4594307,5824823,9704065,,,,,,,
Zwischenpunkt,81,Bahnsteig Gleis 9+10 (Aufzug zum Zwischengeschoß und Badstraße/Brunnenstraße),-2,4594280,5824910,9704081,,,,,,,
Zwischenpunkt,90,Zwischengeschoss (Aufzug zum Gleis 5+6)),-3,4594280,5824910,9704090,,,,,,,
Zwischenpunkt,97,Zwischengeschoss (Rolltreppe zum Gleis 7+8),-3,4594280,5824910,9704097,,,,,,,
Zugang,7,Zugang (Schalterhalle) Behm-/Grüntaler Straße,0,4594204,5824964,9704007,,,,,,,
Zugang und ÖV,16,Bushaltestelle Hanne-Sobek-Platz,0,4594266,5824862,9704016,,,,,,,
Zwischenpunkt,26,Bahnsteig U8 (Rolltreppe zur Schalterhalle),-4,4594214,5824934,9704026,,,,,,,
Zwischenpunkt,28,Schalterhalle (Rolltreppe Bahnsteig U8),0,4594214,5824934,9704028,,,,,,,
Zwischenpunkt,46,"Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden (Rolltreppe zur Überführung)",-2,4594308,5824911,9704046,,,,,,,
Zwischenpunkt,53,"Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden (Treppe zur Überführung)",-2,4594307,5824911,9704053,,,,,,,
Zwischenpunkt,58,"Überführung (Rolltreppe zum Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden)",-1,4594308,5824911,9704058,,,,,,,
Zwischenpunkt,77,Bahnsteig Gleis 7+8 (Rolltreppe zum Zwischengeschoß),-2,4594280,5824910,9704077,,,,,,,
Zwischenpunkt,82,Bahnsteig Gleis 9+10 (Treppe zum Zwischengeschoß),-2,4594280,5824910,9704082,,,,,,,
ÖV,2,"Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden",-2,4594359,5824927,9704002,,,,,,,
ÖV,3,"Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden",-2,4594362,5824906,9704003,,,,,,,
Zugang,12,"Zugang (Rolltreppe Gleis 1/2,) Bad-/Brunnenstraße",0,4594287,5824916,9704012,,,,,,,
Zugang,15,Zugang (Rampe) Swinemünder Straße,0,4594440,5824939,9704015,,,,,,,
Zwischenpunkt,20,Bahnsteig U8 (Rolltreppe Humboldthain/Brunnenstraße/Ramlerstraße),-4,4594215,5824935,9704020,,,,,,,
Zwischenpunkt,21,Bahnsteig U8 (Aufzug),-4,4594215,5824935,9704021,,,,,,,
Zwischenpunkt,23,"Bahnsteig U8 (Treppe Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden)",-4,4594215,5824935,9704023,,,,,,,
Zwischenpunkt,25,Bahnsteig U8 (Treppe zur Schalterhalle),-4,4594215,5824935,9704025,,,,,,,
Zwischenpunkt,32,Zwischengeschoss (Aufzug U8),-3,4594214,5824934,9704032,,,,,,,
Zwischenpunkt,33,"Zwischengeschoss (Aufzug Gleis 3/4, S-Bahn Richtung Osten und Norden)",-3,4594214,5824934,9704033,,,,,,,
Zwischenpunkt,35,"Zwischengeschoss (Treppe Gleis 3/4, S-Bahn Richtung Osten und Norden)",-3,4594215,5824934,9704035,,,,,,,
Zwischenpunkt,37,"Zwischengeschoss (Treppe Gleis 1/2, S-Bahn Richtung Westen und Süden)",-3,4594214,5824934,9704037,,,,,,,
Zwischenpunkt,40,"Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden (Aufzug)",-2,4594308,5824911,9704040,,,,,,,
Zwischenpunkt,49,"Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden (Treppe zum Zwischengeschoss)",-2,4594308,5824911,9704049,,,,,,,
Zwischenpunkt,59,Überführung (Rampe Swinemünder Straße),-1,4594308,5824911,9704059,,,,,,,
Zwischenpunkt,69,Bahnsteig Gleis 5+6 (Aufzug zum Zwischengeschoß und Badstraße/Brunnenstraße),-2,4594280,5824910,9704069,,,,,,,
Zwischenpunkt,72,Bahnsteig Gleis 5+6 (Treppe Badstraße/Brunnenstraße),-2,4594280,5824910,9704072,,,,,,,
Zwischenpunkt,74,Bahnsteig Gleis 5+6 (Treppe zur Überführung),-2,4594280,5824909,9704074,,,,,,,
Zugang,5,Zugang (Rolltreppe) Humboldthain/Brunnenstraße/Ramlerstraße,0,4594314,5824777,9704005,,,,,,,
Zugang,8,Zugang (Aufzug U8),0,4594265,5824882,9704008,,,,,,,
Zwischenpunkt,38,"Zwischengeschoss (Rolltreppe Gleis 1/2, S-Bahn Richtung Westen und Süden)",-3,4594214,5824934,9704038,,,,,,,
Zwischenpunkt,44,"Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden (Rolltreppe Badstraße/Brunnenstraße)",-2,4594308,5824911,9704044,,,,,,,
Zwischenpunkt,51,"Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden (Treppe Badstraße/Brunnenstraße)",-2,4594307,5824911,9704051,,,,,,,
Zugang,67,Zugang (Rolltreppe Gleis 7+8),0,4594302,5824844,9704067,,,,,,,
Zwischenpunkt,70,Bahnsteig Gleis 5+6 (Treppe zum Zwischengeschoß),-2,4594280,5824910,9704070,,,,,,,
Zwischenpunkt,75,Bahnsteig Gleis 7+8 (Aufzug zum Zwischengeschoß und Badstraße/Brunnenstraße),-2,4594280,5824910,9704075,,,,,,,
Zwischenpunkt,78,Bahnsteig Gleis 7+8 (Treppe Badstraße/Brunnenstraße),-2,4594280,5824910,9704078,,,,,,,
Zwischenpunkt,92,Zwischengeschoss (Aufzug zum Gleis 9+10),-3,4594280,5824910,9704092,,,,,,,
Zwischenpunkt,93,Zwischengeschoss (Treppe zum Gleis 5+6),-3,4594280,5824910,9704093,,,,,,,
Zwischenpunkt,95,Zwischengeschoss (Treppe zum Gleis 9+10),-3,4594280,5824910,9704095,,,,,,,
Zugang und ÖV,17,Bushaltestelle Badstraße hinter Böttgerstraße,0,4594124,5824962,9704017,,,,,,,
Zwischenpunkt,19,Bahnsteig U8 (Treppe Humboldthain/Brunnenstraße/Ramlerstraße),-4,4594215,5824935,9704019,,,,,,,
Zwischenpunkt,27,Schalterhalle (Treppe Bahnsteig U8),0,4594215,5824934,9704027,,,,,,,
Zwischenpunkt,36,"Zwischengeschoss (Rolltreppe Gleis 3/4, S-Bahn Richtung Osten und Norden)",-3,4594214,5824935,9704036,,,,,,,
Zwischenpunkt,45,"Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden (Treppe zur Überführung)",-2,4594308,5824911,9704045,,,,,,,
Zwischenpunkt,54,"Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden (Rolltreppe zur Überführung)",-2,4594308,5824911,9704054,,,,,,,
Zwischenpunkt,57,"Überführung (Treppe zum Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden)",-1,4594308,5824911,9704057,,,,,,,
ÖV,87,Bahnsteig Gleis 5+6,-2,4594366,5824877,9704087,,,,,,,
Zugang,63,Zugang (Treppe Gleis 5+6),0,4594296,5824871,9704063,,,,,,,
Zugang,66,Zugang (Rolltreppe Gleis 5+6),0,4594296,5824869,9704066,,,,,,,
Zwischenpunkt,79,Bahnsteig Gleis 7+8 (Rolltreppe Badstraße/Brunnenstraße),-2,4594280,5824910,9704079,,,,,,,
Zwischenpunkt,98,Zwischengeschoss (Rolltreppe zum Gleis 9+10),-3,4594280,5824909,9704098,,,,,,,
,,,,,,,,,,,,,
Bauwerk,167,S+U Warschauer Straße,,4598470,5820180,120004,9120004,,,,,,
Zugang und ÖV,15,Tramsteig S+U Warschauer Straße  Endhalt,0,4598457,5820081,9720315,,,,,,,
Zugang,6,Zugang (Rampe) Warschauer Straße/Rudolfstraße,0,4598533,5820126,9720306,,,,,,,
ÖV,2,Bahnsteig Gleis 1/3,-1,4598656,5820217,9720302,,,,,,,
Zwischenpunkt,22,Bahnsteig Gleis 1/3 (Treppe Warschauer Straße),-1,4598506,5820204,9720322,,,,,,,
Zwischenpunkt,21,Bahnsteig U1 (Aufzug),1,4598505,5820204,9720321,,,,,,,
Zugang und ÖV,16,Tramsteig Warschauer Straße vor Rudolfstraße,0,4598468,5820074,9720316,,,,,,,
Zwischenpunkt,17,Bahnsteig U1 (Treppe Warschauer Straße/Rudolfstraße),1,4598505,5820204,9720317,,,,,,,
Zugang,8,Zugang (Treppe) Warschauer Platz/Rudolfstraße,0,4598537,5820102,9720308,,,,,,,
Zwischenpunkt,24,Bahnsteig Gleis 5/6 (Treppe Warschauer Straße),-1,4598505,5820204,9720324,,,,,,,
Zugang und ÖV,13,Bushaltestelle Warschauer Straße vor Rudolfstraße,0,4598477,5820070,9720313,,,,,,,
Zugang,7,Zugang (Treppe) Warschauer Straße,0,4598531,5820107,9720307,,,,,,,
ÖV,4,Bahnsteig Gleis 5/6,-1,4598649,5820199,9720304,,,,,,,
Zugang,5,Zugang (Treppe)  Warschauer Straße/Rudolfstraße,0,4598533,5820123,9720305,,,,,,,
Zugang,12,Zugang (Treppe Gleis 5/6) Warschauer Straße,0,4598631,5820209,9720312,,,,,,,
ÖV,1,Bahnsteig U1,1,4598482,5820048,9720301,,,,,,,
Zugang,10,Zugang (Treppe Gleis 1/3) Warschauer Straße,0,4598579,5820238,9720310,,,,,,,
Zwischenpunkt,19,Bahnsteig U1 (Treppe Warschauer Straße),1,4598505,5820203,9720319,,,,,,,
ÖV,3,Bahnsteig Gleis 1/4,-1,4598656,5820207,9720303,,,,,,,
Zwischenpunkt,23,Bahnsteig Gleis 1/4 (Treppe Warschauer Straße),-1,4598506,5820204,9720323,,,,,,,
Zwischenpunkt,20,Bahnsteig U1 (Treppe Warschauer Platz/Rudolfstraße),1,4598506,5820204,9720320,,,,,,,
Zugang,11,Zugang (Treppe Gleis 1/4) Warschauer Straße,0,4598630,5820217,9720311,,,,,,,
Zugang,9,Zugang (Aufzug),0,4598537,5820105,9720309,,,,,,,
Zwischenpunkt,18,Bahnsteig U1 (Rampe Warschauer Straße/Rudolfstraße),1,4598505,5820204,9720318,,,,,,,
Zugang und ÖV,14,Bushaltestelle Warschauer Straße hinter Tamara-Danz-Straße,0,4598445,5820082,9720314,,,,,,,
,,,,,,,,,,,,,
Bauwerk,164,S+U Rathaus Spandau,,4581512,5823169,29302,9029302,,,,,,
Zugang,6,Zugang (Treppe) Carl-Schurz Straße/Rathaus,0,4581561,5823195,9720006,,,,,,,
Zugang,12,Zugang (Treppe) Galenstraße,0,4581509,5823231,9720012,,,,,,,
Zugang,22,Zugang (Treppe) Stabholzgarten/Klosterstraße/Rathaus,0,4581529,5823038,9720022,,,,,,,
Zugang,24,Zugang (Schalterhalle) Klosterstraße/Spandauer Arcaden,0,4581404,5823029,9720024,,,,,,,
Zugang,26,Zugang (Durchgang) Spandauer Arcaden,0,4581263,5823059,9720026,,,,,,,
Zugang und ÖV,30,Bushaltestelle Position 5 Seegefelder Straße vor Altstädter Ring,0,4581411,5823096,9720030,,,,,,,
Zwischenpunkt,33,Bahnsteig U7 Spandau (Treppe zum Zwischengeschoss Klosterstraße),-2,4581518,5823135,9720033,,,,,,,
Zwischenpunkt,39,Bahnsteig U7 Rudow (Aufzug zum Zwischengeschoss Klosterstraße),-2,4581518,5823135,9720039,,,,,,,
Zwischenpunkt,40,Bahnsteig U7 Rudow (Treppe zum Zwischengeschoss Klosterstraße),-2,4581518,5823135,9720040,,,,,,,
Zwischenpunkt,45,Zwischengeschoss Klosterstraße (Treppe am Aufzug zum Bahnsteig U7 Spandau),-1,4581518,5823135,9720045,,,,,,,
Zwischenpunkt,46,Zwischengeschoss Klosterstraße (Aufzug zum Bahnsteig U7 Spandau),-1,4581518,5823135,9720046,,,,,,,
Zwischenpunkt,52,Zwischengeschoss Klosterstraße (Rolltreppe zum Bahnsteig U7 Rudow),-1,4581518,5823135,9720052,,,,,,,
Zwischenpunkt,54,Zwischengeschoss Klosterstraße (Treppe Klosterstraße/Brunsbütteler Damm),-1,4581518,5823135,9720054,,,,,,,
Zwischenpunkt,55,Zwischengeschoss Klosterstraße (Rolltreppe Klosterstraße/Brunsbütteler Damm),-1,4581518,5823135,9720055,,,,,,,
Zwischenpunkt,60,Zwischengeschoss Altstädter Ring (Rolltreppe zum Bahnsteig U7 Spandau),-1,4581518,5823135,9720060,,,,,,,
Zwischenpunkt,81,Bahnsteig Gleis 3/4 (Treppe zur Schalterhalle),1,4581347,5823067,9720081,,,,,,,
Zwischenpunkt,82,Bahnsteig Gleis 3/4 (Aufzug zur Schalterhalle),1,4581347,5823067,9720082,,,,,,,
Zwischenpunkt,83,Bahnsteig Gleis 3/4 (Rolltreppe zur Schalterhalle),1,4581347,5823067,9720083,,,,,,,
Zwischenpunkt,88,Bahnsteig Gleis 5/6 (Treppe zum Durchgang),1,4581347,5823067,9720088,,,,,,,
Zwischenpunkt,90,Schalterhalle (Rolltreppe zum Bahnsteig Gleis 1/2),0,4581348,5823067,9720090,,,,,,,
Zwischenpunkt,97,Schalterhalle (Aufzug zum Bahnsteig Gleis 5/6),0,4581348,5823067,9720097,,,,,,,
Zwischenpunkt,47,Zwischengeschoss Klosterstraße (Treppe zum Bahnsteig U7 Spandau),-1,4581518,5823135,9720047,,,,,,,
Zwischenpunkt,63,Zwischengeschoss Altstädter Ring (Rolltreppe zum Bahnsteig U7 Rudow),-1,4581518,5823135,9720063,,,,,,,
Zwischenpunkt,49,Zwischengeschoss Klosterstraße (Treppe am Aufzug zum Bahnsteig U7 Rudow),-1,4581518,5823135,9720049,,,,,,,
Zugang,9,Zugang (Rampe) Carl-Schurz-Straße/Jüdenstraße,0,4581598,5823203,9720009,,,,,,,
Zugang,11,Zugang (Rolltreppe) Münsinger Straße/Amtsgericht,0,4581510,5823234,9720011,,,,,,,
Zugang,17,Zugang (Rolltreppe) Seegefelder Straße/Altstädter Ring,0,4581487,5823122,9720017,,,,,,,
Zugang und ÖV,27,Bushaltestelle Position 1-4 Altstädter Ring hinter Stabholzgarten,0,4581543,5823170,9720027,,,,,,,
Zwischenpunkt,44,Bahnsteig U7 Rudow (Aufzug zum Zwischengeschoss Altstädter Ring),-2,4581518,5823135,9720044,,,,,,,
Zwischenpunkt,51,Zwischengeschoss Klosterstraße (Treppe zum Bahnsteig U7 Rudow),-1,4581518,5823135,9720051,,,,,,,
Zwischenpunkt,84,Bahnsteig Gleis 3/4 (Treppe zum Durchgang),1,4581347,5823067,9720084,,,,,,,
Zwischenpunkt,101,Durchgang (Treppe zum Bahnsteig Gleis 1/2),0,4581347,5823067,9720101,,,,,,,
Zwischenpunkt,99,Durchgang (Treppe zum Bahnsteig Gleis 3/4),0,4581347,5823067,9720099,,,,,,,
Zwischenpunkt,100,Durchgang (Treppe zum Bahnsteig Gleis 5/6),0,4581347,5823067,9720100,,,,,,,
Zugang,15,Zugang (Rampe) Altstädter Ring/Seegefelder Straße,0,4581494,5823169,9720015,,,,,,,
ÖV,1,Bahnsteig U7 Richtung Rathaus Spandau,-2,4581519,5823142,9720001,,,,,,,
Zugang,16,Zugang (Treppe) Seegefelder Straße/Altstädter Ring,0,4581487,5823122,9720016,,,,,,,
Zugang,20,Zugang (Rolltreppe) Klosterstraße/Brunsbütteler Damm,0,4581460,5823078,9720020,,,,,,,
Zugang,23,Zugang (Schalterhalle) Seegefelder Straße/Altstädter Ring,0,4581417,5823078,9720023,,,,,,,
Zugang und ÖV,28,Bushaltestelle Position 7+8 Altstädter Ring vor Seegefelder Straße,0,4581509,5823171,9720028,,,,,,,
Zwischenpunkt,35,Bahnsteig U7 Spandau (Treppe zum Zwischengeschoss Altstädter Ring),-2,4581518,5823135,9720035,,,,,,,
Zwischenpunkt,41,Bahnsteig U7 Rudow (Rolltreppe zum Zwischengeschoss Klosterstraße),-2,4581518,5823135,9720041,,,,,,,
Zwischenpunkt,61,Zwischengeschoss Altstädter Ring (Aufzug zum Bahnsteig U7 Spandau),-1,4581518,5823135,9720061,,,,,,,
Zwischenpunkt,71,Zwischengeschoss Altstädter Ring (Treppe Galenstraße),-1,4581519,5823135,9720071,,,,,,,
Zwischenpunkt,86,Bahnsteig Gleis 5/6 (Aufzug zur Schalterhalle),1,4581348,5823067,9720086,,,,,,,
Zwischenpunkt,87,Bahnsteig Gleis 5/6 (Rolltreppe zur Schalterhalle),1,4581348,5823067,9720087,,,,,,,
Zwischenpunkt,89,Schalterhalle (Treppe zum Bahnsteig Gleis 1/2),0,4581347,5823067,9720089,,,,,,,
Zwischenpunkt,91,Schalterhalle (Aufzug zum Bahnsteig Gleis 1/2),0,4581347,5823067,9720091,,,,,,,
ÖV,3,"Bahnsteig Gleis 1/2,",1,4581328,5823070,9720003,,,,,,,
Zwischenpunkt,74,Zwischengeschoss Altstädter Ring (Rampe Altstädter Ring/Seegefelder Straße),-1,4581498,5823192,9720074,,,,,,,
Zugang,7,Zugang (Rolltreppe) Carl-Schurz Straße/Rathaus,0,4581562,5823198,9720007,,,,,,,
Zugang,8,Zugang (Treppe) Carl-Schurz-Straße/Jüdenstraße,0,4581580,5823200,9720008,,,,,,,
Zugang,19,Zugang (Treppe) Klosterstraße/Brunsbütteler Damm,0,4581461,5823080,9720019,,,,,,,
Zwischenpunkt,32,Bahnsteig U7 Spandau (Aufzug zum Zwischengeschoss Klosterstraße),-2,4581518,5823135,9720032,,,,,,,
Zwischenpunkt,34,Bahnsteig U7 Spandau (Rolltreppe zum Zwischengeschoss Klosterstraße),-2,4581518,5823135,9720034,,,,,,,
Zwischenpunkt,43,Bahnsteig U7 Rudow (Rolltreppe zum Zwischengeschoss Altstädter Ring),-2,4581518,5823135,9720043,,,,,,,
Zwischenpunkt,50,Zwischengeschoss Klosterstraße (Aufzug zum Bahnsteig U7 Rudow),-1,4581518,5823135,9720050,,,,,,,
Zwischenpunkt,56,Zwischengeschoss Klosterstraße (Aufzug),-1,4581518,5823135,9720056,,,,,,,
Zwischenpunkt,67,Zwischengeschoss Altstädter Ring (Treppe Carl-Schurz-Straße/Jüdenstraße),-1,4581518,5823135,9720067,,,,,,,
Zwischenpunkt,73,Zwischengeschoss Altstädter Ring (Rolltreppe Altstädter Ring/Seegefelder Straße),-1,4581518,5823135,9720073,,,,,,,
